symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count
BUSDRUB;0,00000000;0,000;0,00000000;90,39000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
QTUMBUSD;0,00000000;0,000;0,00000000;2,53700000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
VETBUSD;0,00000000;0,000;0,00000000;0,02120000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
VITEBNB;0,00000000;0,000;0,00000000;0,00070700;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
VITEBTC;-0,00000003;-6,667;0,00000044;0,00000044;0,00000042;228141,00000000;0,00000042;536399,00000000;0,00000043;689522,00000000;0,00000045;0,00000047;0,00000041;4843037,00000000;2,13257514;2024-01-04 22:11:33.416;2024-01-05 22:11:33.416;6225075;6226317;1243
VITEUSDT;-0,00125000;-6,352;0,01944645;0,01969000;0,01843000;5885,60000000;0,01843000;1471,40000000;0,01844000;133163,90000000;0,01968000;0,02086000;0,01810000;54166210,70000000;1053340,57871600;2024-01-04 22:12:09.763;2024-01-05 22:12:09.763;22078086;22089400;11315
FTTBNB;0,00000000;0,000;0,00000000;0,00513000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
FTTBTC;0,00000000;0,000;0,00000000;0,00008560;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
FTTUSDT;-0,04280000;-1,496;2,92429684;2,85840000;2,81910000;2,66000000;2,81880000;2,70000000;2,81950000;8,66000000;2,86190000;3,19980000;2,70090000;9148660,61000000;26753399,31363600;2024-01-04 22:11:56.884;2024-01-05 22:11:56.884;68691727;68878095;186369
BTCTRY;-5168,00000000;-0,386;1331585,41754581;1339512,00000000;1334781,00000000;0,00114000;1334641,00000000;0,05833000;1334782,00000000;0,00546000;1339949,00000000;1356111,00000000;1290485,00000000;247,61221000;329716808,04229000;2024-01-04 22:12:09.376;2024-01-05 22:12:09.376;44732610;44757347;24738
